DATE,TOTALNSA
1/1/2023,1083.376
2/1/2023,1175.628
3/1/2023,1419.662
4/1/2023,1399.712
5/1/2023,1409.601
6/1/2023,1415.002
7/1/2023,1339.904
8/1/2023,1364.968
9/1/2023,1383.381
10/1/2023,1238.997
11/1/2023,1273.988
12/1/2023,1505.049
1/1/2024,1105.073
2/1/2024,1267.528
3/1/2024,1476.295
4/1/2024,1361.414
5/1/2024,1476.918
6/1/2024,1350.25
7/1/2024,1316.225
